YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT,NRSNG_VISITS_CNT,MSW_VISITS_CNT,AIDE_VISITS_CNT,TOT_NRSNG_MNTS,HOSPC_RHC_DAYS_PCT
2023,FY,PROVIDER,HOS,741796,Angel Valley Hospice Llc,Dallas,TX,75240,116,125,15521,4196565,2623261,2623261,2731129,*,*,85,29,71,87,*,*,*,0,0,*,2.29,*,13,*,0,52,0,22,*,0,*,*,0,*,0,0,3777,542,9007,166005,100
2023,FY,PROVIDER,HOS,741799,Amedicus Hospice Inc,Crandall,TX,75114,42,44,4675,1126093,793855,793855,826253,38,0,82,38,62,50,48,0,*,0,*,0,2.67,0,*,0,0,36,0,41,*,*,0,0,0,0,0,0,725,141,1322,45030,100
2023,FY,PROVIDER,HOS,971501,Crest Palliative Care,San Antonio,TX,78230,225,236,19221,7309634,3094621,3094621,3415915,30,*,81,44,56,57,5,*,36,0,*,*,2.99,*,25,6,0,24,0,30,6,5,*,*,*,0,0,*,5352,595,6920,244155,100
2023,FY,PROVIDER,HOS,971502,Shalem Hospice Care Llc,Sunnyvale,TX,75182,28,29,3719,962440,617606,617606,642967,46,0,84,*,*,39,*,0,*,0,0,0,3.29,0,*,0,0,38,0,*,*,*,0,*,0,0,0,0,1039,16,1678,53025,100
2023,FY,PROVIDER,HOS,971505,Road To Happiness Home Care Services,Houston,TX,77054,18,19,1885,410924,328100,328100,328013,*,0,80,*,*,*,61,0,*,0,0,0,3.38,0,*,*,0,*,0,0,*,0,0,*,0,0,0,0,240,27,216,15165,100
2023,FY,PROVIDER,HOS,971506,Klarus Hospice Care,Fort Worth,TX,76109,80,81,3922,1263763,762802,762802,778307,*,*,83,43,58,86,*,*,*,0,0,*,2.81,0,15,*,0,41,0,21,19,0,0,0,0,0,0,0,1122,187,1961,58935,99
2023,FY,PROVIDER,HOS,971507,Concord Hospice Care Llc,Edcouch,TX,78538,152,169,20046,4879730,2991585,2991585,3487856,61,0,82,41,59,22,*,0,77,0,*,0,4.25,*,9,9,0,44,0,29,*,*,*,*,0,0,0,0,3396,651,6121,160665,100
2023,FY,PROVIDER,HOS,971508,Peace Valley Hospice,Carrollton,TX,75010,110,117,7926,1876400,1375319,1375319,1430905,24,*,84,36,64,59,*,13,19,0,0,*,2.17,*,10,0,0,55,0,20,*,*,0,*,0,*,*,0,1378,*,0,82335,100
2023,FY,PROVIDER,HOS,971509,Holy Hospice And Palliative Care Llc,Irving,TX,75062,196,214,21666,4916791,3997546,3997546,4075338,39,0,83,39,61,38,12,*,47,0,*,0,4.03,0,14,*,0,20,0,42,18,*,0,*,0,0,0,0,4239,1073,5658,150765,99
2023,FY,PROVIDER,HOS,971510,Enlightened Heights Hospice And Palliative Care,Lubbock,TX,79423,159,169,22446,5443414,3475253,3475253,3884039,9,10,84,41,59,87,*,*,11,0,0,0,2.07,0,*,*,0,37,0,42,9,0,*,*,0,0,0,0,3826,355,7570,185865,100
2023,FY,PROVIDER,HOS,971514,Caring Hospice Ii Llc,Missouri City,TX,77489,48,54,4173,957073,723224,723224,737679,25,0,85,38,63,48,*,*,*,0,0,0,3.30,0,20,0,0,54,0,*,*,*,0,0,0,0,0,0,735,99,1104,48885,100
2023,FY,PROVIDER,HOS,971515,Merciful Hands Llc,Houston,TX,77077,82,85,9061,2540074,1583049,1583049,1612375,55,*,71,55,45,37,57,*,*,0,*,0,2.79,0,*,*,0,36,0,24,31,*,0,*,0,0,0,0,1542,284,5244,84615,100
2023,FY,PROVIDER,HOS,971516,Summit Home Health Care,San Antonio,TX,78216,185,199,19033,4026946,3024717,3024717,3360824,27,*,81,42,58,56,*,*,38,0,*,0,2.77,0,24,*,*,38,0,23,8,*,0,*,0,*,*,0,3940,654,6507,195855,100
2023,FY,PROVIDER,HOS,971517,Vida De Paz Llc,Alamo,TX,78516,53,58,6518,1905628,973799,973799,1121523,53,*,84,45,55,34,0,0,64,0,*,*,2.96,0,*,0,0,62,0,*,*,0,0,0,0,0,0,0,1924,228,1623,80415,100
2023,FY,PROVIDER,HOS,971518,The Medical Team Inc,Hebbronville,TX,78361,29,32,2668,590218,427096,427096,479273,*,55,79,48,52,*,0,0,76,0,*,0,2.81,0,*,*,0,38,0,*,*,*,0,*,0,0,0,0,727,91,648,33825,99
2023,FY,PROVIDER,HOS,971519,Sacred Heart Hospice,San Antonio,TX,78216,17,17,563,141892,94715,94715,104620,*,0,85,*,*,71,0,0,*,0,0,*,3.16,0,*,0,0,*,0,*,*,*,*,*,0,0,0,0,153,19,134,8655,100
2023,FY,PROVIDER,HOS,971520,Transcend Hospice,San Antonio,TX,78240,89,97,10636,2467531,1658031,1658031,1825452,38,18,77,38,62,62,*,*,28,0,*,0,2.91,0,27,*,0,25,0,18,22,*,0,*,0,*,0,0,2027,369,5312,112905,99
2023,FY,PROVIDER,HOS,971522,Olive Branch Hospice,Jasper,TX,75951,362,377,48686,12572327,7653571,7653571,8487865,37,81,81,42,58,93,6,*,*,0,*,*,2.10,*,13,0,0,16,0,60,10,*,0,*,0,0,0,0,9572,1762,15755,384735,99
2023,FY,PROVIDER,HOS,971523,American Star Home Health Care Inc,Lubbock,TX,79412,15,17,577,209945,98273,98273,109722,*,*,83,*,*,*,*,0,*,0,0,0,2.38,0,*,0,0,*,0,*,*,*,0,0,0,0,0,0,124,33,119,8325,99
2023,FY,PROVIDER,HOS,971524,Wings Over Texas Hospice,Cleburne,TX,76031,263,268,20138,7972251,3447795,3447795,3605032,34,14,83,39,61,94,*,0,5,*,0,0,2.58,0,20,4,*,31,0,33,6,*,0,*,0,*,*,*,4510,807,11754,211515,100
2023,FY,PROVIDER,HOS,971525,Scenic Healthcare Hospice Llc,Mansfield,TX,76063,67,71,5614,1090873,975475,975475,1014354,*,0,81,34,66,82,*,0,*,*,0,0,2.73,*,55,*,0,28,0,*,*,*,0,0,0,0,0,0,1006,161,51,46845,100
2023,FY,PROVIDER,HOS,971526,Magnolia Hospice Care Llc,Houston,TX,77058,213,226,16478,4246942,3008910,3008910,3009495,17,*,85,37,63,80,*,0,15,0,*,0,2.82,*,17,7,0,34,0,31,5,*,*,*,0,0,*,0,2951,1051,6592,139020,100
2023,FY,PROVIDER,HOS,971528,Life Care Hospice And Palliative Services Llc,Mcallen,TX,78501,37,39,3960,719192,589156,589156,675647,51,0,80,41,59,*,*,0,70,0,0,0,2.64,0,*,*,0,64,0,*,*,0,0,*,0,0,0,0,755,103,460,36975,100
2023,FY,PROVIDER,HOS,971530,Knights Of Comfort,Fort Worth,TX,76244,58,63,3502,784278,654379,654379,680799,*,0,84,38,62,95,*,0,0,0,*,0,2.72,0,24,0,0,44,0,24,*,0,0,*,0,0,0,0,174,105,141,10455,98
